filename,human_calorie_density,human_healthiness,human_appeal,human_sweetness,human_saltiness,human_sourness,human_bitterness,human_savoriness,human_fattiness,human_spiciness,human_familiarity
cherry.png,35.16,89.88,84.44,67.72,4.0,32.16,8.92,12.92,5.76,3.52,4.16
chicken-breast.png,58.4,67.08,71.24,10.27,33.91,10.41,7.91,54.95,27.91,12.09,4.04
chicken-noodle-soup.png,48.72,72.78,66.89,17.31,52.88,14.31,14.75,62.88,26.06,13.69,3.61
chicken-parmesan.png,78.9,40.9,72.7,20.36,40.29,7.71,8.5,36.86,53.5,19.57,2.95
chicken-thigh.png,69.81,65.0,75.26,8.78,37.93,4.81,4.85,52.44,40.44,14.56,4.33
chicken-tikka-wrap.png,64.77,53.91,69.91,14.31,44.31,13.31,8.75,47.12,41.69,22.5,3.23
chicken-wings.png,74.0,43.24,78.24,19.41,49.76,10.71,8.71,62.24,51.0,33.29,3.81
chickpeas.png,45.48,73.35,44.22,5.0,22.72,3.94,4.06,26.39,11.39,2.0,3.35
chili-con-carne.png,67.5,45.36,65.71,19.33,44.62,11.33,10.76,66.05,38.81,50.14,3.32
chilli-pepper.png,22.19,69.52,51.33,12.58,12.16,14.37,17.21,20.32,14.79,87.84,3.67
chocolate-cake.png,91.95,20.16,79.63,90.63,2.95,1.32,3.95,15.37,46.84,0.74,3.84
chocolate-peanut-butter-pie.png,87.81,14.56,81.38,96.15,15.92,0.15,1.08,18.31,45.85,0.38,3.44
coconut.png,45.92,76.15,63.23,51.0,9.15,8.23,9.69,13.85,19.31,7.85,3.69
cod.png,48.19,71.74,49.59,7.91,34.64,4.0,3.55,40.95,26.05,9.82,3.44
coleslaw.png,30.7,71.65,58.43,19.36,16.86,6.32,12.64,18.55,7.77,7.14,3.7
collard-greens.png,22.64,88.0,40.92,9.42,14.21,7.79,21.58,28.58,3.26,1.58,3.32
cookie.png,83.44,24.33,72.39,85.22,13.67,6.89,5.94,20.0,27.06,5.78,4.06
corn.png,34.85,75.81,56.26,46.33,13.74,4.52,2.96,22.3,7.41,2.67,4.33
cornbread.png,72.82,36.46,66.5,58.68,16.41,4.18,3.82,11.82,24.09,3.32,3.54
couscous.png,38.05,75.35,44.95,22.82,13.27,10.45,10.73,20.09,13.82,10.45,2.9
crab.png,55.79,63.32,57.47,20.12,39.38,8.5,10.81,51.94,42.88,12.69,3.47
cracker.png,50.75,52.75,63.12,15.0,69.38,14.75,13.75,34.25,23.38,13.25,4.0
cranberry.png,31.25,80.29,61.17,38.76,2.59,38.88,21.24,7.47,2.71,1.35,2.96
croissant.png,64.53,31.68,75.63,35.06,21.65,6.59,6.18,19.35,28.0,7.47,3.74
cucumber.png,19.36,88.07,61.18,14.0,7.0,3.21,4.75,9.18,2.29,0.86,4.32
cupcake.png,87.4,24.65,80.75,91.15,11.1,6.3,5.75,9.5,30.45,5.15,3.9
currant.png,32.71,80.17,62.62,65.31,7.08,26.23,12.69,17.0,6.69,5.08,2.67
curry-indian.png,69.85,50.73,70.19,7.2,46.27,7.07,4.07,57.07,43.67,48.73,3.0
custard.png,61.08,42.88,63.25,51.22,19.67,9.17,7.17,24.22,35.72,7.33,3.29
dahl.png,52.16,70.26,43.68,8.33,29.67,9.6,7.87,32.53,13.33,22.93,3.63
dark-chocolate.png,71.9,33.81,67.52,77.81,16.33,7.9,21.38,18.9,22.43,8.57,3.86
date.png,52.14,71.1,41.71,79.15,14.85,11.31,15.46,15.77,12.92,7.31,3.05
deli-ham-sliced.png,63.94,45.25,54.44,16.67,67.6,7.2,6.2,54.4,57.47,10.33,3.81
doner-kebab.png,65.79,54.17,74.17,11.75,45.4,10.8,6.2,60.1,38.95,22.7,3.21
donut.png,90.97,18.55,78.79,92.48,9.62,4.69,3.66,11.93,50.86,3.41,4.07
dragon-fruit.png,34.25,83.9,64.4,56.92,2.67,16.42,3.75,4.25,5.5,0.5,3.1
dried-apple.png,42.26,73.37,56.0,57.29,12.0,22.35,7.0,14.47,6.71,2.0,3.26
dried-apricot.png,40.53,68.42,57.21,57.57,15.57,35.21,18.86,15.0,11.36,11.0,3.16
dried-cherry.png,43.83,73.09,65.22,73.45,6.05,28.95,9.25,10.9,7.05,4.15,3.48
dried-fig.png,40.11,68.93,46.78,48.72,14.78,12.72,12.44,24.78,10.06,5.61,3.04
dried-mango.png,47.52,57.0,43.81,37.57,18.71,19.86,1.43,7.86,16.71,2.57,2.1
duck.png,72.81,52.54,63.77,7.61,36.44,3.78,2.06,56.78,44.11,6.39,3.31
dumplings.png,65.81,49.24,76.86,16.89,42.79,12.26,6.79,63.84,34.42,21.53,3.81
durian.png,59.79,63.93,51.93,71.0,31.29,37.86,32.29,33.29,37.0,25.0,2.57
edamame.png,27.83,85.43,72.78,18.35,28.74,2.17,5.91,28.87,2.78,5.0,4.13
eggplant-prepared.png,35.67,65.83,53.33,7.62,29.85,2.92,6.92,43.62,7.23,4.23,2.94
eggplant-raw.png,30.14,83.14,43.1,14.63,15.68,16.32,33.47,24.68,10.53,7.63,3.62
eggs-chicken.png,52.83,64.87,68.04,3.48,21.05,2.9,1.1,39.52,28.71,4.52,4.13
elderberry.png,25.52,87.0,64.52,53.89,0.67,16.56,4.78,14.33,2.0,0.44,2.43
empanada.png,73.44,37.89,70.83,20.47,43.6,7.67,14.13,54.93,32.87,25.8,3.28
endive.png,24.33,81.53,39.33,12.67,13.22,3.56,10.89,16.56,1.11,0.67,2.87
