Food,Category,Natural_vs_transformed,Sweet_vs_savory,Prep Form,Additional Prompt
Roti,Grain,Natural,Savory,,
Rye,Grain,Natural,Savory,,
Salami,Protein,Natural,Savory,,
Salmon,Protein,Natural,Savory,,
Sandwich,Dish,Transformed,Savory,,
Sardines,Protein,Natural,Savory,,
Sashimi,Dish,Natural,Savory,,
Satay,Dish,Natural,Savory,,
Sausage,Protein,Natural,Savory,,
Scallops,Protein,Natural,Savory,,
Scone,Grain,Natural,Savory,,
Seaweed,Vegetable,Natural,Savory,,
Shallot,Vegetable,Natural,Savory,,
Shepherds pie,Dish,Transformed,Savory,,
Shiitake mushrooms,Vegetable,Natural,Savory,,
Shrimp,Protein,Natural,Savory,,
shrimp spring rolls,Grain,Transformed,Savory,,
Snapper,Protein,Natural,Savory,,
Snow peas,Vegetable,Natural,Savory,,
Soba noodles,Grain,Transformed,Savory,,
Sorbet,Dessert,Natural,Sweet,,
Sorghum,Grain,Natural,Savory,,
Sourdough,Grain,Natural,Savory,,
Soursop,Fruit,Natural,Sweet,,
Spaghetti bolognese,Dish,Natural,Savory,,
Spinach (prepared),Vegetable,Natural,Savory,,
Spinach (raw),Vegetable,Natural,Savory,,
Split peas,Protein,Natural,Savory,,
Spring rolls,Dish,Natural,Savory,,
Squid,Protein,Natural,Savory,,
Starfruit,Fruit,Natural,Sweet,,
Stew,Dish,Transformed,Savory,,
Stir fry,Dish,Natural,Savory,,
Strawberry,Fruit,Natural,Sweet,,
Sugar snap peas,Vegetable,Natural,Sweet,,
Sushi,Dish,Natural,Savory,,
Sweet and sour chicken,Dish,Transformed,Savory,,
sweet breakfast cereal,Grain,Transformed,sweet,,
Sweet potato (prepared),Vegetable,Natural,Sweet,,
Swiss chard,Vegetable,Natural,Savory,,
Taco,Dish,Transformed,Savory,,
Tamarind,Fruit,Natural,Sweet,,
Taro,Vegetable,Natural,Savory,,
Tart,Dessert,Natural,Sweet,,
Tempeh,Protein,Natural,Savory,,
Tempura,Dish,Natural,Savory,,
Teriyaki chicken,Dish,Transformed,Savory,,
Tikka masala,Dish,Natural,Savory,,
Toffee,Dessert,Natural,Sweet,,
Tofu,Protein,Natural,Savory,,
Tom yum soup,Dish,Transformed,Savory,,
Tomato (culinary fruit),Fruit,Natural,Savory,,
Tomato bruschetta,Dish,Transformed,Savory,,
Tomato soup,Dish,Transformed,Savory,,
Tortilla (corn),Grain,Natural,Savory,,
Tortilla (flour),Grain,Natural,Savory,,
Trout,Protein,Natural,Savory,,
Tuna,Protein,Natural,Savory,,
Turkey,Protein,Natural,Savory,,
Turnip,Vegetable,Natural,Savory,,
Udon,Grain,Natural,Savory,,
Vegetable curry,Dish,Transformed,Savory,,
Venison,Protein,Natural,Savory,,
Vermicelli,Grain,Natural,Savory,,
Waffle,Grain,Natural,Savory,,
Walnuts,Protein,Natural,Savory,,
Water chestnut,Vegetable,Natural,Savory,,
Watermelon,Fruit,Natural,Sweet,,
Wheat,Grain,Natural,Savory,,
Yam,Vegetable,Natural,Savory,,
Yogurt (plain),Protein,Natural,Savory,,
Zucchini (prepared),Vegetable,Natural,Savory,,
Zucchini (raw),Vegetable,Natural,Savory,,
Spring rolls,Dish,Transformed,Savory,,
